"description","units","source_key","2015-01-01","2015-02-01","2015-03-01","2015-04-01","2015-05-01","2015-06-01","2015-07-01","2015-08-01","2015-09-01","2015-10-01","2015-11-01","2015-12-01","2016-01-01","2016-02-01","2016-03-01","2016-04-01","2016-05-01","2016-06-01","2016-07-01","2016-08-01","2016-09-01","2016-10-01","2016-11-01","2016-12-01","2017-01-01","2017-02-01","2017-03-01","2017-04-01","2017-05-01","2017-06-01","2017-07-01","2017-08-01","2017-09-01","2017-10-01","2017-11-01","2017-12-01","2018-01-01","2018-02-01","2018-03-01","2018-04-01","2018-05-01","2018-06-01","2018-07-01","2018-08-01","2018-09-01","2018-10-01","2018-11-01","2018-12-01","2019-01-01","2019-02-01","2019-03-01","2019-04-01","2019-05-01","2019-06-01","2019-07-01","2019-08-01","2019-09-01","2019-10-01","2019-11-01","2019-12-01","2020-01-01","2020-02-01","2020-03-01","2020-04-01","2020-05-01","2020-06-01","2020-07-01","2020-08-01","2020-09-01","2020-10-01","2020-11-01","2020-12-01","2021-01-01","2021-02-01","2021-03-01","2021-04-01","2021-05-01","2021-06-01","2021-07-01","2021-08-01","2021-09-01","2021-10-01","2021-11-01","2021-12-01","2022-01-01","2022-02-01","2022-03-01","2022-04-01","2022-05-01","2022-06-01","2022-07-01","2022-08-01","2022-09-01","2022-10-01","2022-11-01","2022-12-01","2023-01-01","2023-02-01","2023-03-01","2023-04-01","2023-05-01","2023-06-01","2023-07-01","2023-08-01","2023-09-01","2023-10-01","2023-11-01","2023-12-01","2024-01-01","2024-02-01","2024-03-01"
"Wisconsin : all sectors","number of customers","ELEC.CUSTOMERS.WI-ALL.M","3001300","2983740","2990540","3003710","2994230","2997280","3006890","3004780","3006490","3003640","2994820","3015010","3011760","2998170","3014120","3015580","3009390","3018360","3019050","3016080","3031020","3021270","3020000","3030960","3035370","3020870","3030640","3032530","3032010","3044090","3043580","3037380","3046100","3042140","3049950","3049830","3058580","3048140","3045800","3057470","3056550","3063560","3064340","3064150","3064570","3064610","3073780","3065460","3083320","3069700","3066480","3074690","3082990","3082350","3083720","3079980","3088740","3093060","3084300","3099070","3105580","3093740","3089510","3111400","3099380","3103930","3116560","3111910","3113680","3112220","3111270","3131100","3136180","3053140","3128860","3140960","3124510","3132050","3138480","3133280","3141980","3132700","3136220","3152510","3152590","3138800","3148540","3154850","3147420","3155880","3158550","3153340","3167240","3155860","3159870","3173580","3187780","3167460","3179360","3180900","3177720","3195720","3199670","3190280","3202240","3194160","3207180","3207880","3221580","3212940","3208360"
"Wisconsin : residential","number of customers","ELEC.CUSTOMERS.WI-RES.M","2647380","2632560","2638800","2650310","2642300","2645160","2653150","2651370","2652470","2650590","2642360","2660240","2657070","2646180","2659630","2660630","2656640","2664010","2664330","2662800","2671950","2664910","2664600","2674590","2677740","2665470","2674240","2676160","2675400","2686160","2685440","2680200","2687520","2685080","2691370","2691270","2698130","2689600","2687410","2697610","2696670","2702710","2703100","2703260","2703360","2704420","2711830","2704820","2721160","2709610","2706860","2713840","2720660","2720060","2721200","2717900","2725220","2730020","2721990","2734930","2739710","2729670","2725800","2745130","2734420","2738590","2749500","2745410","2746970","2746170","2745370","2762280","2768030","2689300","2763000","2773300","2759020","2765360","2770700","2766540","2772570","2764960","2768340","2782690","2782570","2771090","2779900","2785860","2778630","2786420","2788720","2785180","2796220","2787730","2791350","2803740","2815770","2798180","2808650","2810200","2806520","2822260","2825520","2817750","2827550","2821040","2832670","2833050","2845350","2837610","2833670"
"Wisconsin : commercial","number of customers","ELEC.CUSTOMERS.WI-COM.M","348455","345731","346248","347886","346484","346523","348162","347807","348398","347410","346994","349314","349176","346478","348922","349372","347205","348771","349234","347727","353526","350802","349889","350845","352053","349833","350765","350747","350917","352197","352443","351390","352807","351437","353032","352849","354701","353005","352812","354078","354089","355013","355340","354931","355283","354424","356255","354736","356745","354732","354220","355199","356726","356673","356885","356447","357922","357603","356972","358576","360384","358605","358214","360515","359257","359599","361340","360808","361002","360523","360422","363108","362685","358364","360349","361889","359717","360911","362000","360902","363585","362195","362352","364070","364494","362364","363231","363400","363130","363746","364151","362432","365312","362658","363082","364142","366520","363812","365238","365104","365567","367823","368500","366867","369070","367617","369060","369201","370747","369863","369221"
"Wisconsin : industrial","number of customers","ELEC.CUSTOMERS.WI-IND.M","5465","5457","5498","5513","5445","5596","5576","5603","5620","5642","5463","5459","5509","5504","5565","5570","5538","5583","5486","5554","5547","5561","5508","5531","5573","5568","5633","5623","5695","5729","5702","5788","5773","5623","5549","5715","5747","5528","5569","5782","5791","5840","5906","5956","5921","5767","5699","5895","5413","5358","5398","5654","5606","5610","5626","5640","5591","5431","5342","5565","5490","5461","5489","5751","5702","5732","5717","5694","5705","5521","5477","5709","5459","5468","5514","5763","5762","5778","5777","5829","5821","5544","5524","5753","5521","5348","5402","5588","5652","5707","5671","5731","5711","5468","5443","5696","5485","5463","5468","5594","5630","5635","5642","5659","5621","5500","5446","5618","5483","5473","5465"
"Wisconsin : transportation","number of customers","ELEC.CUSTOMERS.WI-TRA.M","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"Wisconsin : other","number of customers","ELEC.CUSTOMERS.WI-OTH.M",\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0
"West North Central","number of customers","ELEC.CUSTOMERS.WNC-ALL.M",\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0
"West North Central : all sectors","number of customers","ELEC.CUSTOMERS.WNC-ALL.M","10785100","10792300","10815800","10812000","10818400","10833900","10850800","10806500","10818300","10820100","10814700","10839000","10841600","10860000","10886100","10872500","10891400","10902700","10900400","10927800","10928600","10925600","10931700","10952300","10933900","10941700","10963100","10965200","10991200","10999300","11000300","11023200","11011300","11025000","11026500","11040000","11033400","11024300","11043200","11052900","11078100","11081900","11098000","11107600","11089400","11097500","11103500","11107300","11116000","11109300","11126200","11132400","11163800","11156000","11183000","11188400","11173500","11207900","11187400","11208600","11185100","11180200","11196400","11222900","11226500","11243500","11282900","11285300","11289400","11290000","11287300","11321500","11299000","11291800","11341800","11344300","11359600","11373100","11392600","11403600","11403600","11343400","11465000","11428400","11398600","11394400","11424700","11433300","11447400","11456600","11458800","11497300","11485600","11486900","11480100","11526000","11528500","11521300","11558500","11536800","11559000","11571500","11593700","11602600","11625100","11577900","11571300","11601100","11629900","11631600","11650800"
"West North Central : residential","number of customers","ELEC.CUSTOMERS.WNC-RES.M","9259390","9268020","9287810","9282160","9284990","9299100","9310380","9272800","9280020","9279250","9277060","9300590","9297840","9311650","9334600","9320550","9336380","9345730","9345340","9367290","9366300","9364290","9370190","9389790","9378080","9387410","9405540","9405290","9423040","9429310","9429290","9449040","9439420","9457060","9459850","9469350","9459560","9459960","9474890","9476600","9494270","9498110","9511660","9519640","9504050","9518190","9526070","9523340","9535540","9531070","9545600","9543630","9567960","9560750","9583000","9589910","9573920","9610560","9593750","9607580","9588640","9586470","9599220","9617280","9619840","9635460","9669330","9672860","9675280","9683280","9681660","9703720","9683220","9679570","9719160","9713600","9725020","9736650","9754430","9762800","9761160","9711160","9831060","9786780","9770190","9768890","9793380","9795290","9804250","9812940","9812850","9849740","9838510","9850430","9843200","9880500","9881010","9878100","9910430","9887290","9910300","9921120","9940900","9947920","9970790","9931100","9934090","9960710","9992990","9997990","10013900"
"West North Central : commercial","number of customers","ELEC.CUSTOMERS.WNC-COM.M","1403340","1402290","1405280","1406870","1409640","1408810","1414690","1407760","1411850","1414720","1413200","1415500","1419980","1424270","1426700","1426540","1430120","1431180","1429890","1434630","1437330","1436810","1437830","1438490","1433530","1432200","1434270","1436410","1442300","1443240","1444900","1447200","1445970","1447340","1447170","1446740","1448650","1445960","1449320","1450390","1457010","1456080","1458840","1460290","1458750","1458950","1458490","1458790","1459020","1457860","1459410","1459360","1465720","1464410","1468750","1466740","1468560","1473160","1471130","1471380","1473230","1470860","1473600","1474100","1475260","1475950","1480860","1480230","1481820","1482050","1482660","1486480","1492930","1489770","1498740","1498840","1502460","1503310","1505180","1507010","1508280","1507590","1509840","1510040","1504250","1501920","1506850","1505840","1510100","1509500","1512260","1513090","1513360","1510980","1512260","1512840","1521660","1518120","1522430","1519550","1517440","1518730","1521130","1522210","1522810","1520340","1512060","1509910","1510790","1507730","1511420"
"West North Central : industrial","number of customers","ELEC.CUSTOMERS.WNC-IND.M","122331","122034","122700","122997","123776","125989","125766","125901","126438","126133","124491","122925","123793","124044","124746","125361","124851","125820","125163","125868","124994","124487","123639","124008","122315","122082","123277","123489","125892","126730","126130","126945","125923","120574","119526","123912","125183","118398","118974","125869","126793","127655","127458","127657","126547","120350","118963","125179","121435","120365","121181","129400","130088","130798","131201","131756","131034","124159","122543","129648","123194","122829","123625","131557","131403","132089","132698","132171","132269","124642","122938","131299","122859","122487","123855","131816","132156","133097","132996","133743","134125","124619","124085","131566","124118","123560","124505","132140","133072","134127","133700","134485","133755","125468","124640","132619","125809","125099","125603","129996","131251","131629","131689","132464","131522","126457","125161","130506","126126","125852","125513"
"West North Central : transportation","number of customers","ELEC.CUSTOMERS.WNC-TRA.M","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"West North Central : other","number of customers","ELEC.CUSTOMERS.WNC-OTH.M",\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0
"Iowa","number of customers","ELEC.CUSTOMERS.IA-ALL.M",\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0
"Iowa : all sectors","number of customers","ELEC.CUSTOMERS.IA-ALL.M","1585610","1585400","1588930","1588510","1589340","1590320","1592750","1592370","1595360","1597530","1595080","1600160","1595160","1596860","1601280","1597380","1599740","1601010","1600930","1604750","1604740","1606300","1608320","1612880","1613410","1614510","1619490","1616690","1620530","1620510","1620620","1624600","1622140","1627070","1626510","1629280","1629380","1628260","1631600","1630890","1632060","1632950","1634090","1636010","1633530","1636480","1637050","1637720","1640070","1635240","1639460","1639590","1643440","1639500","1644930","1641030","1642770","1653290","1648480","1651470","1650460","1648440","1649540","1656690","1654420","1655960","1659960","1657270","1659540","1660640","1662030","1664820","1664820","1666130","1671090","1669680","1670300","1671900","1674490","1676770","1677700","1677120","1679650","1681850","1674650","1674180","1678560","1676240","1678620","1679670","1681070","1682820","1684510","1684440","1685820","1690360","1704810","1702730","1707810","1703790","1705940","1707190","1710160","1710590","1711030","1714040","1714850","1717840","1722010","1719640","1722460"
"Iowa : residential","number of customers","ELEC.CUSTOMERS.IA-RES.M","1353530","1353680","1356290","1355340","1355690","1356790","1358270","1357820","1358910","1357960","1355160","1359740","1355220","1352920","1358220","1354550","1356360","1357700","1357460","1360840","1360570","1361760","1363500","1367700","1368890","1370050","1374430","1371870","1374500","1374630","1374670","1378050","1375980","1380900","1380350","1382800","1382440","1381920","1384440","1383610","1383970","1384940","1385780","1388290","1385310","1388640","1389980","1389710","1391120","1387140","1390490","1389770","1392440","1389850","1393650","1390430","1391780","1401560","1397420","1400100","1397860","1396290","1397130","1403330","1401110","1402720","1405910","1403770","1405760","1407280","1408810","1410560","1410660","1412020","1415920","1414020","1414230","1415700","1417910","1420020","1420480","1420640","1422820","1424560","1420880","1420730","1424320","1422040","1423570","1424830","1425880","1427700","1429060","1429570","1430700","1434550","1447310","1445600","1449870","1445970","1448080","1449170","1451550","1451940","1452270","1455300","1456210","1458600","1462540","1460520","1463080"
"Iowa : commercial","number of customers","ELEC.CUSTOMERS.IA-COM.M","224532","224185","225056","225581","226024","225849","226817","226845","228724","231806","232258","232800","232199","236309","235276","235062","235652","235553","235777","236150","236472","236816","237154","237441","236850","236781","237309","237087","238201","238010","238146","238676","238331","238550","238613","238723","238992","238682","239465","239295","240093","239975","240300","239664","240241","240108","239440","240110","240638","239936","240676","241094","242268","240895","242517","241805","242250","243283","242738","242700","243364","242958","243163","243591","243627","243538","244295","243824","244065","244046","244071","244576","245007","244959","245936","245937","246401","246509","246890","246989","247457","247267","247665","247664","244607","244332","245066","244589","245406","245162","245551","245409","245778","245673","245992","246184","249134","248795","249586","249267","249274","249438","250024","250020","250191","250366","250360","250695","251152","250822","251081"
"Iowa : industrial","number of customers","ELEC.CUSTOMERS.IA-IND.M","7550","7538","7587","7590","7622","7689","7668","7706","7729","7762","7660","7619","7746","7630","7784","7775","7730","7763","7695","7765","7697","7724","7667","7736","7668","7677","7746","7732","7824","7865","7808","7877","7824","7618","7547","7757","7956","7651","7689","7986","7993","8040","8007","8057","7978","7736","7635","7905","8312","8165","8298","8733","8739","8750","8770","8796","8735","8452","8322","8678","9227","9193","9254","9768","9684","9703","9749","9681","9719","9317","9143","9687","9146","9156","9225","9713","9670","9692","9688","9769","9759","9209","9165","9623","9160","9117","9174","9606","9646","9683","9632","9708","9670","9197","9132","9626","8367","8328","8355","8556","8577","8578","8585","8634","8570","8366","8280","8549","8324","8299","8291"
"Iowa : transportation","number of customers","ELEC.CUSTOMERS.IA-TRA.M",\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0
"Iowa : other","number of customers","ELEC.CUSTOMERS.IA-OTH.M",\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0
"Kansas","number of customers","ELEC.CUSTOMERS.KS-ALL.M",\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0
"Kansas : all sectors","number of customers","ELEC.CUSTOMERS.KS-ALL.M","1476290","1477880","1479860","1480080","1485580","1485150","1494710","1488390","1486560","1484380","1486190","1487570","1501080","1503600","1504880","1505510","1510520","1510800","1517990","1513390","1511500","1509800","1511470","1513360","1507570","1507280","1507170","1514040","1517080","1517820","1524730","1517750","1517810","1515980","1520620","1519560","1516460","1515920","1517580","1519640","1527490","1526670","1532950","1528280","1527190","1524560","1528150","1526940","1526160","1527840","1529870","1529530","1535020","1536960","1539160","1539960","1536490","1535440","1538330","1538310","1532480","1532600","1538330","1535230","1544620","1542840","1547810","1552740","1546600","1545970","1548490","1547340","1549080","1536110","1555390","1554850","1559620","1560520","1562450","1564470","1564370","1562980","1565620","1564670","1559020","1556400","1562930","1565210","1567130","1566890","1574060","1569460","1570140","1570960","1571260","1571590","1590700","1589290","1593700","1594300","1597500","1598640","1604900","1603810","1603880","1602680","1604470","1607420","1605140","1607800","1608430"
