description,units,source key,2015-01-01,2015-02-01,2015-03-01,2015-04-01,2015-05-01,2015-06-01,2015-07-01,2015-08-01,2015-09-01,2015-10-01,2015-11-01,2015-12-01,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-01,2016-11-01,2016-12-01,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01,2024-01-01,2024-02-01,2024-03-01,2024-04-01,2024-05-01
Texas : commercial,number of customers,ELEC.CUSTOMERS.TX-COM.M,1424841,1414177,1421352,1417183,1411987,1423118,1435907,1435671,1434288,1435735,1421366,1433646,1436454,1448218,1444498,1445430,1444900,1450167,1443019,1454155,1452614,1454894,1446400,1446080,1521382,1501929,1518211,1499611,1519922,1518149,1516979,1521867,1511813,1523194,1516387,1507041,1593093,1567782,1584756,1575619,1572421,1588333,1594327,1604306,1588739,1617357,1604354,1602660,1549007,1528933,1545625,1534066,1538270,1527893,1535730,1536841,1535519,1544429,1525710,1543264,1543129,1535826,1558696,1543716,1532218,1543120,1542110,1533735,1533687,1539395,1529338,1539659,1533628,1463021,1519788,1551266,1563780,1573767,1572864,1570589,1570083,1568843,1563815,1580234,1575653,1558106,1583728,1571451,1565351,1583318,1572376,1578427,1575823,1577192,1580417,1577813,1545633,1536114,1548823,1550463,1565462,1566274,1566555,1575965,1564196,1574252,1584929,1565734,1568046,1586223,1582316,1590375,1609134
Texas : industrial,number of customers,ELEC.CUSTOMERS.TX-IND.M,97914,101493,102666,104227,105413,107616,108834,108766,108020,109618,108503,108176,109983,104771,104216,104120,108243,107920,107325,106305,104592,103273,103153,102795,111243,111829,113012,113688,116869,117343,118269,118211,115475,114605,114018,113778,122670,121480,121439,121497,128539,130074,129547,130062,127476,125897,123416,126415,221977,221182,220459,224572,228264,235765,240887,238696,239563,239182,236816,241737,251950,251749,255579,258229,259842,265371,268224,269625,270411,269461,271268,277799,282534,279328,286155,289624,288995,294960,296353,298992,300361,296104,300246,302732,307746,307557,311774,315068,318297,324865,324508,331598,331100,331760,330519,330607,337871,338580,340852,340203,348319,348232,347884,351305,351594,353288,352728,353952,351366,353892,361039,366918,371926
Texas : transportation,number of customers,ELEC.CUSTOMERS.TX-TRA.M,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2
Texas : other,number of customers,ELEC.CUSTOMERS.TX-OTH.M,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Mountain,number of customers,ELEC.CUSTOMERS.MTN-ALL.M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mountain : all sectors,number of customers,ELEC.CUSTOMERS.MTN-ALL.M,10810084,10830117,10837635,10830340,10836819,10846503,10860176,10868167,10884238,10895889,10909714,10936012,10973070,10965282,10976488,10971839,10977693,10994455,11001503,11021062,11035763,11039950,11060157,11083324,11205555,11210546,11226919,11216097,11231612,11244744,11252059,11275820,11249277,11300022,11313312,11348258,11280255,11288838,11300802,11302960,11316703,11333531,11235690,11360277,11370005,11393387,11414036,11434983,11452491,11462215,11475656,11477464,11491658,11500043,11518452,11538790,11556695,11578190,11595916,11618295,11631897,11637060,11649956,11658510,11664835,11685961,11701762,11715125,11734880,11759605,11772572,11799767,11831682,11840530,11864045,11882663,11888908,11911405,11928300,11942550,11961368,11978935,11999831,12025195,12042359,12052986,12093514,12077891,12093313,12115570,12125327,12143187,12163887,12182141,12204505,12227074,12081289,12089676,12112594,12107426,12123196,12127196,12159029,12176415,12191129,12214005,12235081,12255028,12271496,12290663,12308042,12318227,12339709
Mountain : residential,number of customers,ELEC.CUSTOMERS.MTN-RES.M,9351156,9370696,9377618,9367350,9370685,9377282,9389065,9395952,9409701,9423983,9441276,9466980,9506438,9499051,9505471,9496969,9499859,9511537,9517314,9534522,9547450,9554312,9576531,9600608,9720401,9723783,9738054,9725799,9737644,9745182,9751829,9773900,9753588,9798224,9817635,9850967,9779618,9787639,9797945,9796327,9805784,9818606,9720887,9844264,9854400,9877972,9901721,9920842,9937305,9947349,9957937,9956764,9964902,9969920,9986196,10002786,10019154,10041492,10061819,10086499,10093331,10099442,10108366,10114728,10118737,10136594,10150464,10161290,10180021,10206034,10221232,10248668,10275675,10287380,10307359,10320118,10323422,10340580,10355922,10368542,10386732,10405316,10427636,10451449,10469758,10480520,10512868,10495541,10510142,10525479,10535789,10552882,10570858,10591668,10615673,10638192,10501911,10509589,10529434,10524061,10533909,10536971,10564713,10579608,10594762,10617152,10640286,10658074,10673474,10690494,10704486,10711103,10729447
Mountain : commercial,number of customers,ELEC.CUSTOMERS.MTN-COM.M,1369379,1369686,1368155,1369468,1370578,1371970,1373386,1374430,1376932,1375482,1375153,1376694,1374575,1373971,1378287,1380318,1381844,1385290,1385923,1388022,1390142,1389462,1389986,1389763,1392578,1393993,1395505,1395522,1397240,1400811,1401353,1402729,1397238,1405215,1401992,1403934,1407213,1408377,1409796,1412022,1414843,1417194,1416638,1417330,1417304,1418812,1419025,1420762,1422428,1422490,1424985,1425980,1430181,1431919,1431961,1435435,1437439,1438516,1438832,1436472,1443497,1442521,1445342,1446733,1447213,1449045,1450579,1452860,1454002,1454702,1455164,1454631,1461594,1458709,1461669,1465717,1466836,1470345,1471445,1472880,1473860,1474817,1475832,1477345,1477003,1476740,1484366,1484665,1483543,1488946,1488176,1488419,1491443,1490944,1491768,1491710,1481639,1482445,1485179,1484147,1488484,1487991,1491121,1493728,1493639,1495643,1495699,1498072,1499980,1502053,1505453,1507413,1508812
Mountain : industrial,number of customers,ELEC.CUSTOMERS.MTN-IND.M,89545,89731,91858,93518,95552,97247,97721,97781,97601,96420,93281,92334,92052,92255,92725,94547,95985,97623,98261,98513,98166,96171,93635,92948,92571,92765,93355,94771,96723,98746,98872,99186,98446,96578,93680,93352,93419,92817,93056,94606,96071,97726,98160,98678,98296,96598,93285,93374,92753,92371,92729,94715,96570,98199,100290,100564,100097,98177,95260,95319,95064,95092,96243,97044,98880,100317,100714,100970,100852,98864,96171,96463,94408,94436,95012,96823,98645,100475,100928,101123,100771,98797,96358,96396,95593,95721,96275,97680,99623,101140,101357,101881,101581,99524,97059,97167,97734,97637,97976,99213,100798,102229,103190,103074,102723,101205,99091,98877,98037,98111,98098,99706,101445
Mountain : transportation,number of customers,ELEC.CUSTOMERS.MTN-TRA.M,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Mountain : other,number of customers,ELEC.CUSTOMERS.MTN-OTH.M,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Arizona,number of customers,ELEC.CUSTOMERS.AZ-ALL.M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona : all sectors,number of customers,ELEC.CUSTOMERS.AZ-ALL.M,3013630,3016456,3014954,3002230,2998273,2997744,3002101,3002238,3009099,3017382,3027507,3039250,3060172,3051565,3050543,3039729,3036811,3037915,3042953,3043095,3053277,3057636,3068195,3080169,3091364,3092320,3094832,3082772,3081292,3084838,3085488,3091671,3068392,3104192,3113732,3125652,3130292,3134034,3134575,3125910,3125162,3126546,3128198,3132159,3139889,3149379,3161416,3171740,3175776,3177746,3180539,3171625,3170763,3172724,3177096,3185426,3193618,3204331,3215546,3222094,3223523,3226140,3222569,3221591,3221486,3224086,3227621,3234430,3241659,3251587,3258604,3268604,3277604,3281158,3283246,3283864,3283559,3287714,3292462,3296153,3304715,3313305,3323939,3333238,3346026,3348416,3351327,3347282,3343652,3349568,3354963,3358671,3369609,3378502,3388129,3398613,3369074,3371891,3376315,3371437,3373163,3373126,3379989,3385479,3394519,3404126,3414506,3421250,3424540,3432187,3436092,3431318,3435644
Arizona : residential,number of customers,ELEC.CUSTOMERS.AZ-RES.M,2692672,2695131,2693361,2680164,2675921,2675270,2679206,2679208,2686017,2694109,2704034,2715611,2735701,2726762,2725524,2714066,2710769,2711432,2716331,2716259,2725524,2730517,2740740,2752474,2764123,2764819,2766845,2755016,2752978,2754759,2755598,2761507,2743984,2772254,2784395,2795979,2801765,2805056,2805839,2796757,2795722,2796488,2798266,2801862,2809462,2818839,2830801,2839352,2845292,2847401,2849347,2840397,2837008,2838308,2842460,2848912,2856489,2867230,2878045,2887291,2885980,2888911,2885045,2883774,2883607,2885632,2888854,2894691,2901900,2911378,2918251,2928034,2936109,2939882,2941752,2941460,2940933,2944178,2948811,2953043,2961159,2969547,2979875,2989116,2998814,3002511,3004630,2998789,2998320,3001929,3006815,3012008,3020357,3029233,3038511,3048794,3022030,3024681,3028283,3023583,3022846,3024565,3030784,3035941,3044019,3053945,3064573,3070519,3073908,3080736,3084292,3079843,3083500
Arizona : commercial,number of customers,ELEC.CUSTOMERS.AZ-COM.M,313389,313765,313871,314239,314509,314622,315066,315188,315247,315479,315754,315935,316567,316861,317016,317525,317871,318325,318444,318618,319489,318928,319219,319499,319170,319395,319785,319479,320030,321794,321661,321942,316441,323851,321356,321777,320637,321104,320870,321261,321573,322184,322116,322497,322647,322809,323038,324854,322612,322498,323362,323329,325788,326471,326609,328509,329155,329181,329709,327064,329974,329648,329891,330193,330190,330811,331133,332110,332168,332670,332815,333107,334028,333803,333985,334798,335018,335899,336037,335516,335966,336223,336568,336658,339409,338083,338838,340628,337476,339795,340315,338833,341441,341525,341907,342134,339863,340039,340824,340605,343083,341332,341955,342344,343310,343057,342829,343655,343569,344364,344735,344371,345038
Arizona : industrial,number of customers,ELEC.CUSTOMERS.AZ-IND.M,7568,7559,7721,7826,7842,7851,7828,7841,7834,7793,7718,7703,7902,7940,8001,8136,8169,8156,8176,8216,8262,8189,8234,8194,8069,8104,8200,8275,8282,8283,8227,8220,7965,8085,7979,7894,7888,7872,7864,7890,7865,7872,7814,7798,7778,7729,7575,7532,7870,7845,7828,7897,7965,7943,8025,8003,7972,7918,7790,7737,7567,7579,7631,7622,7687,7641,7632,7627,7589,7537,7536,7461,7465,7471,7507,7604,7606,7635,7612,7592,7588,7533,7494,7462,7801,7820,7857,7863,7854,7842,7831,7828,7809,7742,7709,7683,7179,7169,7206,7247,7232,7227,7248,7192,7188,7122,7102,7074,7061,7085,7063,7102,7104
Arizona : transportation,number of customers,ELEC.CUSTOMERS.AZ-TRA.M,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Arizona : other,number of customers,ELEC.CUSTOMERS.AZ-OTH.M,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Colorado,number of customers,ELEC.CUSTOMERS.CO-ALL.M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado : all sectors,number of customers,ELEC.CUSTOMERS.CO-ALL.M,2592911,2595650,2599804,2601917,2603663,2606393,2607498,2611190,2613424,2616851,2618505,2622359,2627178,2629127,2632357,2636133,2639001,2642811,2644142,2649413,2651169,2654092,2656232,2658077,2659803,2661785,2665460,2668422,2671242,2672878,2675569,2679108,2680234,2687175,2688933,2692659,2699908,2703940,2707705,2711207,2715553,2717672,2719713,2724287,2726397,2731692,2733512,2737102,2747158,2749665,2753520,2757097,2759209,2763024,2766912,2769951,2773363,2777987,2780457,2783526,2782561,2785266,2790770,2793112,2794812,2798496,2800770,2804981,2807544,2811510,2813131,2817941,2826880,2829129,2834657,2838958,2841906,2846085,2848251,2852630,2856231,2860084,2863059,2866032,2867910,2871170,2876622,2878001,2882667,2884967,2886010,2890357,2894927,2898096,2901598,2905538,2847130,2849307,2854963,2856847,2857308,2855204,2865045,2869350,2869678,2874327,2878393,2881151,2886852,2892056,2895925,2899296,2902802
Colorado : residential,number of customers,ELEC.CUSTOMERS.CO-RES.M,2213116,2216201,2219165,2220261,2221846,2223587,2224770,2227944,2230066,2233831,2237004,2240886,2247337,2250972,2251452,2253405,2255669,2258014,2259701,2264039,2265991,2268539,2271616,2274084,2275217,2277053,2279598,2281348,2283872,2284976,2287538,2290812,2292418,2299437,2302263,2305731,2310595,2314314,2316891,2319112,2322333,2324243,2326436,2330942,2333572,2338379,2341402,2345470,2354778,2357488,2360731,2362696,2364610,2367464,2370657,2373710,2376739,2381183,2384355,2387534,2385933,2388545,2391629,2393433,2395258,2398334,2399956,2403592,2405704,2410039,2412728,2419081,2425270,2429068,2433165,2436098,2438564,2441378,2443659,2447160,2450634,2454180,2457436,2460684,2465378,2467882,2471893,2472408,2475716,2477410,2479706,2482879,2487518,2491350,2495053,2499460,2442486,2444664,2449098,2450738,2451039,2447906,2456420,2460075,2461390,2465232,2469419,2472310,2477122,2481044,2483856,2486421,2489433
Colorado : commercial,number of customers,ELEC.CUSTOMERS.CO-COM.M,364478,364127,364781,365047,365196,366123,366013,366552,366644,366675,365471,365637,364171,362505,365065,366126,366723,368150,367737,368666,368502,369408,368654,368268,368988,369073,370009,370490,370728,371247,371381,371630,371229,371605,370709,371168,373472,373751,374903,375931,377065,377205,377110,377146,376668,377345,376484,376132,378460,378269,378862,380083,380116,381073,381511,381444,381862,382186,381694,381722,381700,381703,383977,384472,384207,384855,385466,386049,386576,386339,385159,383665,386627,385046,386365,387513,387973,389319,389166,390020,390145,390531,390353,390104,387586,388277,389625,390425,391793,392390,391292,392303,392224,391695,391554,391138,389813,389796,390912,391068,391461,392448,393677,394383,393437,394301,394184,394062,395013,396156,397196,398077,398562
Colorado : industrial,number of customers,ELEC.CUSTOMERS.CO-IND.M,15316,15321,15857,16608,16620,16682,16714,16693,16713,16344,16029,15835,15669,15649,15839,16601,16608,16646,16703,16707,16675,16144,15961,15724,15597,15658,15852,16583,16641,16654,16649,16665,16586,16132,15960,15759,15840,15874,15910,16163,16154,16223,16166,16198,16156,15967,15625,15499,13919,13907,13926,14317,14482,14486,14743,14796,14761,14617,14407,14269,14927,15017,15163,15206,15346,15306,15347,15339,15263,15131,15243,15194,14982,15014,15126,15346,15368,15387,15425,15449,15451,15372,15269,15243,14945,15010,15103,15167,15157,15166,15011,15174,15184,15050,14990,14939,14830,14846,14952,15040,14807,14849,14947,14891,14850,14793,14789,14778,14716,14855,14872,14797,14806
Colorado : transportation,number of customers,ELEC.CUSTOMERS.CO-TRA.M,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Colorado : other,number of customers,ELEC.CUSTOMERS.CO-OTH.M,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Idaho,number of customers,ELEC.CUSTOMERS.ID-ALL.M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho : all sectors,number of customers,ELEC.CUSTOMERS.ID-ALL.M,828715,840398,830666,831368,832611,833598,835203,835852,837706,838781,838895,841374,842972,844141,845900,846317,847657,848850,849859,851879,853483,853918,855322,856858,857319,858034,859997,860266,862143,863454,864901,866886,868063,870432,871441,873110,874659,875528,877313,878440,880118,881523,883201,885374,886589,888964,890168,891407,895439,895740,897801,899264,902059,902884,905799,907023,908873,912271,912415,914069,915870,916247,918685,921487,922621,924901,927193,928851,931171,932784,934609,937814,941039,942492,945269,948225,949912,952215,953892,956168,957895,960062,961477,963983,957870,961312,980790,970172,972525,974576,976231,978440,980612,981465,982933,985076,983426,983797,986807,987039,990705,991472,993661,996524,998179,1000368,1002035,1004158,1006209,1007094,1009080,1011639,1014094
Idaho : residential,number of customers,ELEC.CUSTOMERS.ID-RES.M,696196,704955,697588,697924,698887,699760,701134,701617,703289,704366,705038,706617,708724,709745,711226,711226,712253,713365,714180,715946,717403,717983,719483,720834,721329,721992,723653,723689,725042,726137,727531,729269,730406,732665,733847,735240,736644,737406,738975,739559,740924,742112,743654,745635,746758,749012,750497,751593,755882,756369,758100,759087,761331,762213,764726,765894,767644,770709,771255,772889,773701,774587,776272,778443,779417,781293,783290,784815,786818,788432,790445,793185,796377,797759,800228,802262,803782,805707,807119,809172,810713,812814,814478,816647,811814,814862,830311,821928,823836,825612,827143,828987,830996,831916,833440,835068,833807,834391,836375,836639,839585,840842,842453,844970,846734,848702,850651,852442,854236,855101,857022,858731,861015
Idaho : commercial,number of customers,ELEC.CUSTOMERS.ID-COM.M,105519,108280,105909,105896,106089,106117,106340,106459,106641,106616,106347,107215,106753,106896,107112,107196,107444,107490,107669,107848,108025,107907,108047,108226,108174,108233,108510,108484,108831,108964,109035,109231,109296,109501,109572,109753,109859,110089,110300,110385,110615,110780,110894,111070,111179,111443,111447,111463,111438,111289,111559,111619,112055,111961,112341,112400,112514,112952,112814,112693,113780,113296,114010,114173,114284,114627,114909,115035,115328,115494,115612,115916,116102,116174,116433,116902,117005,117312,117545,117738,117916,118186,118179,118396,117356,117740,121661,119056,119374,119560,119689,120010,120196,120286,120482,120831,120595,120420,121382,121026,121591,121055,121577,121910,121854,122138,122124,122360,122708,122749,122793,123230,123336
Idaho : industrial,number of customers,ELEC.CUSTOMERS.ID-IND.M,27000,27163,27169,27548,27635,27721,27729,27776,27776,27799,27510,27542,27495,27500,27562,27895,27960,27995,28010,28085,28055,28028,27792,27798,27816,27809,27834,28093,28270,28353,28335,28386,28361,28266,28022,28117,28156,28033,28038,28496,28579,28631,28653,28669,28652,28509,28224,28351,28119,28082,28142,28558,28673,28710,28732,28729,28715,28610,28346,28487,28389,28364,28403,28871,28920,28981,28994,29001,29025,28858,28552,28713,28560,28559,28608,29061,29125,29196,29228,29258,29266,29062,28820,28940,28700,28710,28818,29188,29315,29404,29399,29443,29420,29263,29011,29177,29024,28986,29050,29374,29529,29575,29631,29644,29591,29528,29260,29356,29265,29244,29265,29678,29743
Idaho : transportation,number of customers,ELEC.CUSTOMERS.ID-TRA.M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Idaho : other,number of customers,ELEC.CUSTOMERS.ID-OTH.M,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Montana,number of customers,ELEC.CUSTOMERS.MT-ALL.M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana : all sectors,number of customers,ELEC.CUSTOMERS.MT-ALL.M,600279,600524,601995,602475,604380,606606,607758,608128,608986,609035,607052,608215,607638,608413,610127,609568,611801,613931,614316,615903,616656,615970,614871,615838,615257,615584,617009,616509,619121,621449,622127,623819,623309,624322,622394,623287,623883,623552,624570,624782,626875,628845,630083,631607,631124,631785,629993,630510,631998,631401,632415,633338,636084,637195,639455,639050,639994,641849,638733,640040,639272,638908,639762,642330,643296,645845,647506,647933,648898,648725,646352,648434,648790,649558,651322,652331,654301,656958,658324,659744,659997,659628,658976,660128,660929,661295,662847,663326,666090,668077,669338,670777,671477,671116,670363,671977,671940,672074,673982,673849,676088,678442,679694,680999,681287,681720,681743,682399,683650,683402,684514,686170,688684
Montana : residential,number of customers,ELEC.CUSTOMERS.MT-RES.M,488371,488690,489835,490188,490405,491142,491639,491994,492883,493599,493425,494880,494106,494851,496135,495341,496190,496778,496723,498012,498703,498925,499584,500703,500480,500820,501900,501393,502401,502841,503057,504316,504057,505789,505947,506712,507187,507197,508023,507837,508529,508965,509547,510575,510280,511664,512083,512434,513880,513366,514191,514390,515351,515015,516277,515752,516658,519498,518667,519578,519330,519084,519730,521441,521041,521863,522987,523184,524061,524808,524725,526286,527164,527857,529266,529505,529904,530699,531517,532711,533173,533881,535070,535992,537063,537426,538709,538490,539471,539948,540583,541668,542492,543242,544260,545563,545831,545985,547649,547171,548098,549009,549765,550560,550955,552147,553685,554171,555483,555343,556312,557146,558524
Montana : commercial,number of customers,ELEC.CUSTOMERS.MT-COM.M,103886,103842,104103,104162,104053,104118,104369,104374,104618,104652,104644,105062,105256,105269,105603,105764,105716,105821,105858,106009,106400,106369,106452,106703,106493,106523,106775,106791,106880,106980,107128,107350,107470,107651,107758,107976,108177,108263,108416,108430,108486,108629,108787,108845,108904,109039,109116,109241,108587,108731,108813,108929,109436,109385,109724,109648,109914,110085,109998,110266,110474,110427,110563,110777,110565,110708,111005,111069,111308,111438,111472,111947,112030,112110,112378,112528,112462,112692,112849,112955,113131,113147,113283,113722,113975,114032,114234,114295,114294,114494,114746,114853,114985,114999,115177,115631,116002,116018,116203,116175,115873,116034,116188,116319,116443,116603,116712,117289,117886,117856,117995,118217,117825
Montana : industrial,number of customers,ELEC.CUSTOMERS.MT-IND.M,8022,7992,8057,8125,9922,11346,11750,11760,11485,10784,8983,8273,8276,8293,8389,8463,9895,11332,11735,11882,11553,10676,8835,8432,8284,8241,8334,8325,9840,11628,11942,12153,11782,10882,8689,8599,8519,8092,8131,8515,9860,11251,11749,12187,11940,11082,8794,8835,9531,9304,9411,10019,11297,12795,13454,13650,13422,12266,10068,10196,9468,9397,9469,10112,11690,13274,13514,13680,13529,12479,10155,10201,9596,9591,9678,10298,11935,13567,13958,14078,13693,12600,10623,10414,9891,9837,9904,10541,12325,13635,14009,14256,14000,12875,10926,10783,10107,10071,10130,10503,12117,13399,13741,14120,13889,12970,11346,10939,10281,10203,10207,10807,12335
Montana : transportation,number of customers,ELEC.CUSTOMERS.MT-TRA.M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana : other,number of customers,ELEC.CUSTOMERS.MT-OTH.M,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Nevada,number of customers,ELEC.CUSTOMERS.NV-ALL.M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
