DATE,CAPUTLG3311A2S
2017-07-01,72.3548
2017-08-01,73.6422
2017-09-01,74.9095
2017-10-01,74.351
2017-11-01,75.2951
2017-12-01,74.2541
2018-01-01,74.0321
2018-02-01,76.4105
2018-03-01,78.4566
2018-04-01,76.9373
2018-05-01,77.7204
2018-06-01,77.9671
2018-07-01,78.2758
2018-08-01,79.833
2018-09-01,80.3511
2018-10-01,81.3881
2018-11-01,81.1534
2018-12-01,79.8498
2019-01-01,77.1152
2019-02-01,77.9043
2019-03-01,78.0644
2019-04-01,78.3057
2019-05-01,77.0155
2019-06-01,75.0852
2019-07-01,77.5526
2019-08-01,78.6807
2019-09-01,78.5836
2019-10-01,78.4281
2019-11-01,79.1518
2019-12-01,81.9359
2020-01-01,84.5443
2020-02-01,80.6689
2020-03-01,77.2775
2020-04-01,55.6547
2020-05-01,52.9822
2020-06-01,57.0561
2020-07-01,59.5045
2020-08-01,64.7201
2020-09-01,69.6973
2020-10-01,69.8663
2020-11-01,71.744
2020-12-01,74.6015
2021-01-01,76.3751
2021-02-01,72.9947
2021-03-01,75.8349
2021-04-01,77.7148
2021-05-01,77.83
2021-06-01,79.0168
2021-07-01,80.7123
2021-08-01,80.749
2021-09-01,83.1806
2021-10-01,83.3953
2021-11-01,82.123
2021-12-01,80.4252
2022-01-01,77.4737
2022-02-01,77.0365
2022-03-01,75.9349
2022-04-01,76.7653
2022-05-01,77.9736
2022-06-01,76.373
2022-07-01,76.1716
2022-08-01,75.2451
2022-09-01,74.6419
2022-10-01,73.8817
2022-11-01,72.2305
2022-12-01,71.3298
2023-01-01,73.5025
2023-02-01,75.6511
2023-03-01,75.4914
2023-04-01,74.8751
2023-05-01,75.2443
2023-06-01,75.3714
2023-07-01,74.2897
2023-08-01,74.1976
2023-09-01,74.3144
2023-10-01,73.5349
2023-11-01,73.8526
2023-12-01,73.4967
2024-01-01,71.2436
2024-02-01,72.2265
2024-03-01,72.2168
2024-04-01,70.7107
2024-05-01,71.3257
2024-06-01,69.9497
2024-07-01,71.2581
